Field Name,Units,Description,cat
Cst_Cnt,n.a.,"Cast Count - All CalCOFI casts ever conducted, consecutively numbered",id
Cruise_ID,n.a.,Cruise identifier [Year]-[Month]-[Day]-C-[Ship Code],id
Cruise,n.a.,Cruise Name [Year][Month],id
Cruz_Sta,n.a.,Cruise Name and Station [Year][Month][Line][Station],id
DbSta_ID,n.a.,Line and Station,id
Cast_ID,n.a.,Cast Identifier [Century] - [YY][MM][ShipCode] - [CastType][Julian Day] - [CastTime]-[Line][Sta],id
Sta_ID,n.a.,Line and Station,id
Quarter,n.a.,Quarter of the year,time
Sta_Code,n.a.,Station Designation (See Station_ID and 0-St_Code for codes),id
Distance,nautical miles,"Nautical miles from coast intercept, calculated from estimated latitude and longitude",pos
Date,time,Date (Month Day Year),time
Year,n.a.,Year,time
Month,n.a.,Month,time
Julian_Date,n.a.,"OA Date: days since December 30, 1899",time
Julian_Day,n.a.,Julian Day of the year,time
Time,time,Time (UTC) CTD reached terminal depth,time
Lat_Dec,decimal degrees,Observed Latitude in decimal degrees,pos
Lat_Deg,degrees,Observed Latitude in degrees,pos
Lat_Min,minutes,Observed Latitude in minutes,pos
Lat_Hem,n.a.,Observed Latitude Hemisphere,pos
Lon_Dec,decimal degrees,Observed Longitude in decimal degrees,pos
Lon_Deg,degrees,Observed Longitude in degrees,pos
Lon_Min,minutes,Observed Longitude in minutes,pos
Lon_Hem,n.a.,Observed Longitude Hemisphere,pos
Rpt_Line,n.a.,Reported Line Number,pos
St_Line,n.a.,Nearest Standard Line,pos
Ac_Line,n.a.,Calculated actual line from observed latitude and longitude,pos
Rpt_Sta,n.a.,Reported Station Number,id
St_Station,n.a.,Nearest Standard Station Number,id
Ac_Sta,n.a.,Calculated actual station from observed lat and long,id
Bottom_D,meters,Bottom depth in meters,chifis
Ship Name,n.a.,Ship's Name,id
Ship Code,n.a.,Ship's NODC Code,id
Data_Type,n.a.,Data Type,id
Order_Occ,n.a.,Order station was occupied (within each cruise),id
Event_Num,n.a.,"Event number; includes all research opperations within each cruise (e.g. nets, CTD)",id
Cruz_Leg,n.a.,"Leg of cruise, if multiple legs",id
Orig_Sta_ID,n.a.,IEH Reported Station ID,id
Data_Or,n.a., ,id
Cruz_Num,n.a.,Cruise Designation (Year Month),id
IntChl,milligrams chl per square meter per half light day,Integrated Chlorophyll per half light day,chifis
IntC14,milligrams C per square meter per half light day,Integrated Primary Productivity per half light day,chifis
Inc_Str,time,Incubation Start Time (PST),chifis
Inc_End,time,Incubation End Time (PST),time
PST_LAN,time,Time of Local Apparent Noon (PST),time
Civil_T,time,Time of Civil Twilight (PST),time
TimeZone,n.a.,Time Zone,chifis
Wave_Dir,deg,"Wave Direction reported using an abbreviated 360° azimuth circle with 00 representing True North, 18 represents 180°",chifis
Wave_Ht,feet,Wave Height in feet,chifis
Wave_Prd,seconds,Wave Period in seconds,chifis
Wind_Dir,degrees,"Reported using an abbreviated 360° azimuth circle with 0 representing True North, 18 representing 180°",chifis
Wind_Spd,knots,Wind Speed in knots,chifis
Barometer,millibars,Millibars to the tenths,chifis
Dry_T,degrees Celcius,Dry Air Temperature from a Sling Psychrometer in degrees Celcius,chifis
Wet_T,degrees Celcius,Wet Air Temperature from a Sling Psychrometer in degrees Celcius,chifis
Wea,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 4501",id
Cloud_Typ,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 0500",id
Cloud_Amt,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 2700, in oktas",id
Visibility,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 4300",id
Secchi,meters,Secchi disk depth in meters,id
ForelU,Forel-Ule Scale,Water color; Only used in CalCOFI dataset from 1988-10 through 1998-04,id
